model,avg_congruent_acc,avg_incongruent_acc,avg_bias_effect
deepseek-v3.1,0.997,0.9177,0.0792
gemini-2.5-flash,1.0,0.9915,0.0085
gemini-2.5-flash-lite,0.9502,0.8248,0.1254
gemini-2.5-pro,1.0,0.9861,0.0139
gemma-3-27b-it,0.6169,0.7543,-0.1374
glm-4.6,1.0,0.9776,0.0224
gpt-oss-20b,0.9959,0.9872,0.0088
kimi-k2-instruct,0.9959,0.922,0.0739
llama-3.1-8b-instruct,0.7063,0.5769,0.1294
llama-3.2-1b-instruct,0.6199,0.4124,0.2075
llama-3.2-3b-instruct,0.8201,0.3515,0.4686
llama-3.3-70b-instruct,0.8526,0.5363,0.3163
mixtral-8x22b-instruct,0.7805,0.2564,0.5241
qwen3-next-80b-a3b-instruct,0.7551,0.8344,-0.0793
qwen3-next-80b-a3b-thinking,0.8628,0.5833,0.2795
