model,accuracy,ci_lower,ci_upper,ci_width,n_instances
deepseek-v3.1,94.97112499999999,91.25,98.125,6.874999999999998,160
gemini-2.5-flash,100.0,100.0,100.0,0.0,160
gemini-2.5-flash-lite,88.12531249999999,83.125,93.125,9.999999999999998,160
gemini-2.5-pro,99.376875,98.125,100.0,1.8750000000000044,160
gemma-3-27b-it,69.3588125,61.875,76.875,15.000000000000002,160
glm-4.6,98.1199375,95.625,100.0,4.374999999999996,160
gpt-oss-20b,98.7494375,96.875,100.0,3.125,160
kimi-k2-instruct,95.0025625,91.25,98.125,6.874999999999998,160
llama-3.1-8b-instruct,68.72987499999999,61.25000000000001,75.625,14.374999999999993,160
llama-3.2-1b-instruct,53.04774999999999,45.0,60.62499999999999,15.624999999999995,160
llama-3.2-3b-instruct,62.50293750000001,55.00000000000001,69.375,14.374999999999993,160
llama-3.3-70b-instruct,69.99881250000001,63.109375000000135,76.875,13.76562499999987,160
mixtral-8x22b-instruct,52.48293749999999,45.0,60.0,14.999999999999996,160
qwen3-next-80b-a3b-instruct,76.2199375,69.375,82.5,13.124999999999998,160
qwen3-next-80b-a3b-thinking,84.43431250000002,78.75,90.0,11.250000000000004,160
