Model,Syntax_Acc,Syntax_Prec,Syntax_Rec,Syntax_F1,C_all,C_N<->X,C_O<->OX
gemini-2.5-flash,99.58,100.0,99.12,99.56,98.96,99.17,99.17
gpt-oss-20b,99.53,100.0,99.01,99.5,96.46,97.08,98.12
gemini-2.5-pro,99.32,100.0,98.57,99.28,98.33,98.75,98.54
glm-4.6,98.95,100.0,97.8,98.89,95.83,96.46,97.5
kimi-k2-instruct,95.99,96.96,94.52,95.72,88.33,93.12,90.62
deepseek-v3.1,95.83,99.64,91.56,95.43,88.96,92.08,91.67
gemini-2.5-flash-lite,88.91,89.76,86.51,88.11,71.88,82.92,77.71
qwen3-next-80b-a3b-instruct,79.38,73.33,88.93,80.38,69.17,81.04,76.46
qwen3-next-80b-a3b-thinking,72.66,99.24,42.76,59.77,76.67,81.88,85.42
llama-3.3-70b-instruct,69.84,82.08,46.71,59.54,66.25,81.04,78.33
gemma-3-27b-it,68.39,60.95,93.09,73.67,68.96,82.5,86.04
llama-3.1-8b-instruct,64.32,66.28,50.66,57.43,51.88,75.62,62.08
llama-3.2-3b-instruct,59.17,88.1,16.23,27.41,75.0,92.08,81.67
llama-3.2-1b-instruct,51.88,49.23,41.89,45.26,57.92,76.67,73.75
