Rank,Model,Syntax_Acc,NLU_Acc,Avg_Iters,N
1,gemini-2.5-flash,99.6,51.7,3.74,1920
2,kimi-k2-thinking,99.4,51.9,3.53,1440
3,gemini-2.5-pro,99.3,51.9,3.71,1920
4,gpt-oss-20b,99.2,51.7,3.9,1920
5,qwen3-32b,99.1,52.0,3.76,1760
6,glm-4.6,98.9,52.3,4.11,1920
7,kimi-k2-instruct,96.0,54.8,4.13,1920
8,deepseek-v3.1,95.8,55.1,4.04,1920
9,qwen3-235b-a22b-thinking,95.0,56.2,4.53,640
10,qwq-32b,89.8,57.0,2.15,640
11,gemini-2.5-flash-lite,88.9,57.2,4.0,1920
12,glm-4.5,87.0,57.9,3.81,1280
13,qwen3-next-80b-a3b-instruct,79.4,46.8,3.8,1920
14,qwen3-next-80b-a3b-thinking,72.7,64.5,4.61,1920
15,llama-3.3-70b-instruct,69.8,66.3,4.23,1920
16,gemma-3-27b-it,68.4,43.6,3.89,1920
17,llama-3.1-8b-instruct,64.3,56.8,5.05,1920
18,llama-3.2-3b-instruct,59.2,73.6,5.01,1920
19,deepseek-r1,54.1,75.3,3.52,640
20,mixtral-8x22b-instruct,52.5,76.2,7.0,1920
21,llama-3.2-1b-instruct,51.9,60.4,6.17,1920
